left,bottom,right,top,area,cctv_area,cctv_weakS,crimeS,xcoord,ycoord,x,y
965800,1942100,965900,1942200,100,15.7467,30.0784,20.1,965850,1942150,127.1137587,37.47794929
965800,1942200,965900,1942300,100,33.531,23.7294,20.1,965850,1942250,127.1137541,37.47885064
939900,1943000,940000,1943100,100,8.4425,32.686,7.48708883,939950,1943050,126.8207674,37.48474042
965800,1942900,965900,1943000,100,30.5944,24.7778,13.10915194,965850,1942950,127.1137216,37.48516008
965800,1942000,965900,1942100,100,0.5203,35.5143,20.1,965850,1942050,127.1137634,37.47704794
965800,1947100,965900,1947200,100,6.752,33.2895,13.10915194,965850,1947150,127.1135265,37.52301659
965800,1945800,965900,1945900,100,11.7697,31.4982,13.10915194,965850,1945850,127.1135869,37.51129913
965800,1945900,965900,1946000,100,55.6527,15.832,13.10915194,965850,1945950,127.1135823,37.51220047
965800,1946300,965900,1946400,100,23.3203,27.3747,13.10915194,965850,1946350,127.1135637,37.51580585
965800,1946800,965900,1946900,100,54.4871,16.2481,13.10915194,965850,1946850,127.1135405,37.52031257
965800,1944900,965900,1945000,100,99.2369,0.2724,13.10915194,965850,1944950,127.1136287,37.50318702
939600,1944000,939700,1944100,100,5.8933,33.5961,7.48708883,939650,1944050,126.8172923,37.4937339
965800,1945500,965900,1945600,100,0.0052,35.6981,13.10915194,965850,1945550,127.1136009,37.5085951
965800,1945600,965900,1945700,100,20.8876,28.2431,13.10915194,965850,1945650,127.1135962,37.50949644
939600,1952000,939700,1952100,100,15.5462,30.15,9.44056836,939650,1952050,126.8166348,37.56583774
965800,1945700,965900,1945800,100,10.8235,31.836,13.10915194,965850,1945750,127.1135916,37.51039779
939600,1952100,939700,1952200,100,24.9155,26.8052,9.44056836,939650,1952150,126.8166265,37.56673903
965800,1944400,965900,1944500,100,63.0659,13.1855,13.10915194,965850,1944450,127.113652,37.49868029
939600,1952400,939700,1952500,100,48.2444,18.4767,9.44056836,939650,1952450,126.8166018,37.5694429
965800,1944600,965900,1944700,100,75.1227,8.8812,13.10915194,965850,1944650,127.1136427,37.50048299
939600,1952500,939700,1952600,100,40.8244,21.1257,9.44056836,939650,1952550,126.8165936,37.5703442
965800,1944700,965900,1944800,100,0.0027,35.699,13.10915194,965850,1944750,127.113638,37.50138433
939600,1951600,939700,1951700,100,34.2263,23.4812,9.44056836,939650,1951650,126.8166677,37.56223257
965800,1944800,965900,1944900,100,50.6838,17.6059,13.10915194,965850,1944850,127.1136334,37.50228568
939600,1951700,939700,1951800,100,44.227,19.911,9.44056836,939650,1951750,126.8166595,37.56313386
939600,1951900,939700,1952000,100,7.2238,33.1211,9.44056836,939650,1951950,126.816643,37.56493644
